Source,Target
123058,22524
158184,22524
221727,22524
221727,22540
147157,22546
339622,22631
330594,22695
330638,22695
63749,22711
339622,22711
342003,22711
330594,22733
333465,22733
330531,22774
6911,22832
330504,22832
339622,22832
97286,22924
339622,22924
96983,22956
275883,22956
302255,22956
339622,22956
340165,22956
342003,22956
158188,22971
330504,22971
330594,22971
330588,22971
330504,23050
330594,23050
330603,23050
330588,23050
330655,23050
339622,23050
19221,23084
129124,23084
330638,23084
158188,23096
330594,23096
262934,23151
245806,23167
66494,23220
123058,23238
87712,23615
87783,23615
87909,23615
89695,23615
125222,23615
330594,23615
330638,23615
112104,23657
123058,23657
295668,23674
330594,23674
330594,23702
342003,23702
330594,23705
309299,23730
339622,23730
106696,23758
123058,23764
66964,23774
111718,23774
314121,23774
339622,23774
201648,23807
302255,23807
314121,23807
123058,23862
314121,23862
369866,23930
322047,24003
24036,24034
130195,24034
330504,24034
330594,24034
330638,24034
333290,24034
283564,24036
330594,24064
330594,24119
66494,24270
66958,24306
339622,24374
314121,24563
338138,24636
339622,24636
339622,24647
330594,24653
330621,24653
66496,24664
339622,24671
66496,24675
342186,24707
339622,24736
158188,24753
330504,24790
330594,24790
330544,24790
339622,24790
302234,24803
314121,24803
330594,24803
330638,24803
342003,24803
348573,24803
330594,24808
330638,24808
342003,24808
348573,24808
87712,24826
158188,24826
330594,24826
330504,24881
339622,24881
339622,24915
283564,24931
330594,24933
330638,24933
144258,25002
266866,25062
339622,25062
339622,25094
330594,25113
322047,25171
66496,25177
330594,25192
66496,25193
339622,25279
342003,25279
221727,25343
330594,25343
339622,25343
123058,25363
4325,25540
330594,25554
330594,25711
330698,25711
330638,25711
32146,25737
115207,25737
129479,25737
339622,25737
339622,25773
123058,25872
314121,25872
330771,25974
158188,26107
330594,26107
62098,26151
266866,26168
339622,26168
339622,26187
342003,26187
123058,26189
158188,26189
314121,26189
330594,26189
330594,26200
330638,26200
333290,26200
339622,26250
275883,26279
339622,26279
342003,26279
330594,26361
26407,26391
309299,26398
26407,26403
158188,26404
158347,26404
26407,26405
339622,26410
118062,26422
339622,26446
357340,26446
118062,26467
339622,26495
330621,26498
26571,26507
276021,26514
339622,26514
127215,26517
330594,26518
330594,26524
330613,26524
330594,26529
330621,26529
314121,26533
342003,26533
302234,26537
330594,26537
338047,26537
339622,26537
342003,26537
330505,26539
330621,26539
330544,26541
342003,26541
339622,26542
111718,26543
123058,26543
302255,26543
314121,26543
330594,26543
330613,26543
330680,26543
339622,26543
342003,26543
302234,26544
330594,26544
330621,26544
330613,26544
339622,26545
342003,26545
330531,26552
339622,26552
342003,26552
330621,26560
339622,26561
63749,26562
275883,26562
339622,26562
342003,26562
223424,26564
339622,26567
340165,26567
342003,26567
26559,26569
330594,26569
330621,26569
330594,26571
330621,26571
330613,26571
302234,26572
330613,26572
333550,26572
339622,26575
342003,26575
302234,26581
339622,26581
342003,26581
330594,26588
63749,26622
339622,26622
342003,26622
178992,26639
339622,26639
339622,26650
339622,26653
342003,26653
339622,26664
342003,26664
283564,26699
330531,26699
339622,26699
339622,26720
330594,26724
13452,26751
322047,26752
330594,26899
314121,26968
330594,26968
330544,26968
330680,26968
342003,26968
339622,27035
339622,27066
302234,27336
330594,27336
342003,27336
330594,27350
330626,27350
97286,27351
339622,27351
328550,27352
339622,27352
158188,27355
111718,27444
158188,27444
158361,27444
275946,27444
330594,27444
339622,27444
342003,27444
27496,27489
27505,27490
27492,27494
27497,27496
27484,27496
27515,27496
330504,27496
27492,27497
27492,27498
27514,27499
27500,27499
27501,27499
27504,27499
27508,27499
27504,27500
146905,27501
158188,27501
222577,27501
275883,27501
330588,27501
339622,27501
339885,27501
27498,27504
27484,27504
27515,27504
330504,27504
27494,27505
27484,27505
27515,27505
330504,27505
27504,27514
221727,27514
27496,27524
221727,27524
27505,27526
221727,27526
330594,27528
27526,27537
27490,27537
27501,27537
27505,27537
27508,27537
27524,27544
27489,27544
27501,27544
27496,27544
27508,27544
330594,27551
330594,27569
158188,27599
330594,27599
97286,27641
275926,27641
339622,27641
330594,27676
330544,27676
339622,27709
295668,27837
330594,27837
32935,27848
330594,27957
314121,28213
334503,28213
330594,28335
330594,28355
330544,28355
144258,28386
339622,28386
28413,28388
339622,28388
275883,28392
339622,28392
275946,28397
276021,28397
314121,28397
330531,28397
339622,28397
339622,28407
330531,28413
339622,28413
330594,28437
6911,28444
330594,28444
339622,28444
258988,28450
1237,28518
63749,28518
319689,28518
339622,28518
8654,28521
37258,28521
63749,28521
275883,28521
314121,28521
339622,28521
342003,28521
28397,28553
28413,28553
123058,28553
339622,28553
342003,28553
255470,28559
255491,28559
6911,28561
23924,28561
283564,28570
275883,28579
339622,28579
357340,28579
33260,28614
158188,28672
330594,28672
275883,28674
283564,28674
339622,28674
339885,28674
342003,28674
283564,28700
87660,28715
330594,28850
6911,29112
339622,29118
29207,29218
275883,29218
330504,29218
330531,29218
339622,29218
339885,29218
357340,29218
339622,29359
342003,29359
357340,29359
185358,29512
330594,29512
330594,29523
330638,29523
162600,29567
275852,29567
339622,29567
330594,29609
221727,29613
314121,29632
339622,29678
342003,29678
339622,29811
339622,29995
330594,30043
330594,30058
339622,30358
330594,30505
330693,30505
118062,30506
302255,30513
339622,30513
342003,30513
123058,30553
87475,30584
158188,30599
330594,30599
330594,30729
330594,30750
330594,30755
123058,30760
30750,30780
123058,30818
106696,30831
302234,30831
314121,30831
158188,30835
330594,30835
123058,30845
302234,30845
302234,30860
342003,30860
344732,30899
123058,30915
339622,31078
178992,31195
339622,31323
339622,31328
339622,31357
339622,31364
330594,31400
29963,31570
314121,31570
334503,31570
339622,31604
342003,31604
201648,31659
248897,31659
330680,31659
98737,31714
302234,31714
314121,31714
339622,31714
342003,31714
357340,31714
275883,31795
339622,31795
339783,31795
340050,31795
138994,31827
330594,31827
330621,31827
123058,32075
158188,32075
330594,32075
129479,32146
266866,32146
339622,32146
322047,32163
26543,32173
163359,32173
228526,32173
314121,32173
322047,32173
97286,32263
339622,32263
97286,32267
339622,32382
330594,32406
339622,32418
330556,32499
339622,32500
330594,32529
66557,32549
330594,32549
342003,32589
123058,32603
302234,32603
66496,32605
330594,32631
52410,32646
122920,32646
125222,32646
158188,32646
159450,32646
159467,32646
159454,32646
357340,32646
339622,32655
322047,32756
330594,32792
330638,32792
206384,32822
330594,32823
330594,32906
339622,32915
339622,32917
339622,32918
339622,32920
339622,32921
309299,32935
330594,32945
202296,32949
339622,32949
339783,32949
340095,32949
340050,32949
339622,32951
339622,32953
354438,32967
6911,32982
339622,32982
129124,33065
330594,33065
330531,33083
339622,33096
171596,33113
339622,33113
289557,33127
275883,33133
339622,33133
339622,33173
330594,33203
333263,33203
339622,33219
110731,33253
221727,33253
339622,33253
33260,33256
33260,33264
33260,33273
33260,33287
330594,33312
339622,33438
314121,33463
314121,33731
66496,33827
123058,33837
158188,33869
111718,34058
302255,34058
339622,34058
322047,34172
330594,34198
123058,34321
314121,34321
330594,34321
123058,34390
339622,34622
357340,34622
106696,34770
123058,34770
314121,34770
158188,34788
330594,34788
302646,34792
339622,34792
342003,34792
339622,34903
199467,34966
314121,34966
342003,34966
330594,35171
330638,35171
35222,35204
339622,35204
339622,35222
199581,35244
314121,35279
339622,35289
275883,35384
339622,35384
302255,35494
123058,35563
330594,35582
330588,35582
330638,35582
330594,35588
330588,35588
330638,35588
63749,35600
322047,35600
330594,35600
330638,35600
339622,35600
342003,35600
341984,35600
140433,35762
173758,35922
330594,35922
158188,35946
330594,35954
302234,36046
275883,36077
339622,36077
330594,36101
333316,36101
339622,36168
288812,36174
255470,36562
69182,36613
339622,36613
339622,36644
342003,36644
330594,36717
302234,36727
302234,36731
314121,36731
339622,36735
36727,36759
339622,36759
342003,36759
330594,36775
330613,36775
8654,36778
36727,36778
35959,36815
330594,36815
330594,36907
123058,36917
