Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
175547,,,marcelle,0,0,0,0,450,2,0,2,0,0.03436,0.004695,0,2,0,2,0.000169
175607,,,marge-pytorch,0,0,0,0,788,2,0,2,0,0.000803,0.0278,0,2,0,2,0.000148
175705,,,marge,0,0,0,0,1432,0,0,0,0,0,0,0,0,0,0,0.000147
176055,,,mark_utils,0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0.000147
176069,,,marl,0,0,0,0,1434,0,0,0,0,0,0,0,0,0,0,0.000147
176079,,,marley,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
176346,,,maskflow,0,0,0,0,1435,0,0,0,0,0,0,0,0,0,0,0.000147
176362,,,mask-gpu,0,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0.000147
176368,,,maskrcnn-abb,0,0,0,0,1437,0,0,0,0,0,0,0,0,0,0,0.000147
176371,,,maskrcnn-modanet,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
176372,,,mask-rcnn-12rics,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0.000147
176373,,,masked-convolution,0,0,0,0,1439,0,0,0,0,0,0,0,0,0,0,0.000147
176451,,,masr,0,0,0,0,2107,2,0,2,0,0.000803,0.000003,0,2,0,2,0.000202
176466,,,maru,0,0,0,0,2709,3,0,3,0.333333,0.066864,0.006556,0,3,0,3,0.000149
176526,,,mask-recognition,0,0,0,0,2121,1,0,1,0,0.000402,0.00002,0,1,0,1,0.00021
176632,,,matchernet,0,0,0,0,156,1,0,1,0,0.000402,0.000083,0,1,0,1,0.000163
176685,,,matchzoo,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0.000147
176686,,,matchzoo-test,0,0,0,0,1441,0,0,0,0,0,0,0,0,0,0,0.000147
176692,,,matchzoo-py,0,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0.000147
176721,,,mat_discover,0,0,0,0,1443,0,0,0,0,0,0,0,0,0,0,0.000147
177060,,,matorage,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0.000147
177118,,,matplotx,1,1,1,0,2942,0,1,1,0,0,0,0.000819,0,1,1,0.000147
177173,,,matrix-conv,0,0,0,0,1445,0,0,0,0,0,0,0,0,0,0,0.000147
177174,,,matrix-fact,0,0,0,0,1446,0,0,0,0,0,0,0,0,0,0,0.000147
177310,,,matterix,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,0.000147
177316,,,matthewflegg-mbti,0,0,0,0,1448,0,0,0,0,0,0,0,0,0,0,0.000147
177368,,,maurice,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
177369,,,maui-tools,0,0,0,0,2712,2,0,2,0.5,0.033633,0.005639,0,2,0,2,0.000148
177372,,,mautil,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
177430,,,mauve-text,0,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0.000147
177434,,,maxatac,0,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0.000147
177510,,,max-training-framework,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0.000147
177589,,,maze-rl,0,0,0,0,2690,1,0,1,0,0.001129,0.002238,0,1,0,1,0.000148
177605,,,maznet,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0.000147
178001,,,mcnn,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
178068,,,mcqa,0,0,0,0,1453,0,0,0,0,0,0,0,0,0,0,0.000147
178081,,,mcquic,0,0,0,0,1454,0,0,0,0,0,0,0,0,0,0,0.000147
178141,,,mctorch,0,0,0,0,1455,0,0,0,0,0,0,0,0,0,0,0.000147
178161,,,mc-transformers,0,0,0,0,450,3,0,3,0.333333,0.192489,0.033859,0,3,0,3,0.000148
178415,,,mdmm,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
178457,,,mdparse,0,0,0,0,450,3,0,3,0.5,0.025712,0.000937,0,3,0,3,0.000273
178490,,,mdrnn,0,0,0,0,2712,1,0,1,0,0.033231,0.004573,0,1,0,1,0.000148
178548,,,mds-periodic-invoice,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0.000147
