Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,eigencentrality,pageranks
340176,,,torchvision-detection,1,0,0,0,0,5227,0,0,0,0,0,0,0,0,0,0,0.000077
340178,,,torchts,1,0,0,0,0,5228,0,0,0,0,0,0,0,0,0,0,0.000077
340181,,,torchxrayvision,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340192,,,torkit,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340194,,,torille,1,0,0,0,0,5229,0,0,0,0,0,0,0,0,0,0,0.000077
340201,,,tormentor,1,0,0,0,0,5230,0,0,0,0,0,0,0,0,0,0,0.000077
340207,,,torchtuples,1,1,1,1,0,4710,0,1,1,0,0,1,1,0,0,0,0.000077
340216,,,torcwa,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340220,,,torchvision,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340232,,,torecsys,1,0,0,0,0,5231,0,0,0,0,0,0,0,0,0,0,0.000077
340242,,,torch-yottaxx,1,0,0,0,0,5232,0,0,0,0,0,0,0,0,0,0,0.000077
340459,,,torram,1,0,0,0,0,5233,0,0,0,0,0,0,0,0,0,0,0.000077
340503,,,torrentfileqt,0,0,0,0,0,3664,1,0,1,0,1,0,1,0,0,0.058824,0.00011
340507,,,toroidal,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340510,,,torrentfile,0,0,0,0,0,3664,1,0,1,0,1,0,1,0,0,0.058824,0.00011
340520,,,torte,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340620,,,totalrecall,0,0,0,0,0,2097,1,0,1,0,1,0,1,0.000024,0,0.058824,0.000077
340753,,,towhee.models,1,0,0,0,0,5234,0,0,0,0,0,0,0,0,0,0,0.000077
340754,,,towhee-test,1,0,0,0,0,5235,0,0,0,0,0,0,0,0,0,0,0.000077
340782,,,tox-block,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
340803,,,toxic,1,0,0,0,0,5236,0,0,0,0,0,0,0,0,0,0,0.000077
340819,,,toxigen,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.023472,0,0.117647,0.000077
340820,,,toxicity,1,0,0,0,0,5237,0,0,0,0,0,0,0,0,0,0,0.000077
340825,,,towhee,1,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0.000077
340846,,,tox-ltt,1,0,0,0,0,5239,0,0,0,0,0,0,0,0,0,0,0.000077
340882,,,toybox-envs,0,0,0,0,0,4699,1,0,1,0,1,0,1,0.001674,0,0.058824,0.000077
340909,,,tpcp,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340915,,,tpdataset,0,0,0,0,0,5240,1,0,1,0,1,0,1,0,0,0.058824,0.000143
340922,,,toynet,1,0,0,0,0,5241,0,0,0,0,0,0,0,0,0,0,0.000077
340924,,,toynn,1,0,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0.000077
340963,,,toy-gradlogp-tf2,1,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0.000077
340964,,,toy-gradlogp,1,0,0,0,0,5244,0,0,0,0,0,0,0,0,0,0,0.000077
340995,,,tpml,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.000019,0,0.058824,0.000084
341050,,,tpubar,1,0,0,0,0,5245,0,0,0,0,0,0,0,0,0,0,0.000077
341054,,,tpu-tf2,1,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0.000077
341060,,,tpu-star,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
341062,,,tpu-index,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
341093,,,tpot,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
341099,,,tql,1,0,0,0,0,5247,0,0,0,0,0,0,0,0,0,0,0.000077
341108,,,tql-python,1,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,0,0.000077
341109,,,tqt,1,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0.000077
341145,,,tracardi,0,0,0,0,0,2097,1,0,1,0,1,0,1,0.000024,0,0.058824,0.000077
341258,,,tracepooling,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
341260,,,traceml,1,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0.000077
341277,,,tracepooling-layer,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
341409,,,tracktor,1,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0.000077
341509,,,tracking-policy-agendas,0,0,0,0,0,1675,1,0,1,0,1,0,1,0.000864,0,0.058824,0.000077
341589,,,trading-bot-predictor,1,0,0,0,0,5252,0,0,0,0,0,0,0,0,0,0,0.000077
341640,,,tradutor,0,0,0,0,0,886,1,0,1,0,1,0,1,0,0,0.058824,0.000088
341671,,,train-and-deploy,1,0,0,0,0,5253,0,0,0,0,0,0,0,0,0,0,0.000077
341679,,,trainer4win,1,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0.000077
341684,,,trainer,1,0,0,0,0,5255,0,0,0,0,0,0,0,0,0,0,0.000077
341687,,,trainhelper,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.001791,0,0.058824,0.000077
341691,,,trainable,1,0,0,0,0,5256,0,0,0,0,0,0,0,0,0,0,0.000077
341693,,,trainify,0,0,0,0,0,4699,2,0,2,0,2,0,2,0.021061,0,0.117647,0.000077
341695,,,train,1,0,0,0,0,5257,0,0,0,0,0,0,0,0,0,0,0.000077
341696,,,trainer-xy,1,0,0,0,0,5258,0,0,0,0,0,0,0,0,0,0,0.000077
341698,,,training-grounds,0,0,0,0,0,236,2,0,2,0,2,0,2,0.019414,0,0.117647,0.00008
341702,,,trainingtracker,1,0,0,0,0,5259,0,0,0,0,0,0,0,0,0,0,0.000077
341709,,,trains-agent,1,0,0,0,0,5260,0,0,0,0,0,0,0,0,0,0,0.000077
341710,,,trainable-initial-state-rnn,1,0,0,0,0,5261,0,0,0,0,0,0,0,0,0,0,0.000077
341713,,,trainingbar,1,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0.000077
341724,,,traintrack,1,0,0,0,0,5263,0,0,0,0,0,0,0,0,0,0,0.000077
341727,,,trains,1,0,0,0,0,5264,0,0,0,0,0,0,0,0,0,0,0.000077
341730,,,trains-jupyter-plugin,1,0,0,0,0,5265,0,0,0,0,0,0,0,0,0,0,0.000077
341738,,,traintool,0,0,0,0,0,4993,4,0,4,0,4,0,4,0.021762,0,0.235294,0.000081
341740,,,train-unet,1,0,0,0,0,5266,0,0,0,0,0,0,0,0,0,0,0.000077
341750,,,traja,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
341766,,,trainbench,1,0,0,0,0,5267,0,0,0,0,0,0,0,0,0,0,0.000077
341767,,,trajminer,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.001791,0,0.058824,0.000077
341770,,,train-invaders,1,0,0,0,0,5268,0,0,0,0,0,0,0,0,0,0,0.000077
341811,,,trame-sandtank-ml,0,0,0,0,0,3874,1,0,1,0,1,0,1,0.001355,0,0.058824,0.000077
341834,,,trankit,1,1,1,1,0,4993,0,1,1,0,0,1,1,0,0.000001,0,0.000077
341845,,,trame-mnist,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
341853,,,transcendental,0,0,0,0,0,4654,2,0,2,0,2,0,2,0.00822,0,0.117647,0.000077
341883,,,transcv,0,0,0,0,0,3874,2,0,2,0,2,0,2,0.000363,0,0.117647,0.000082
341898,,,tranfort,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.023472,0,0.117647,0.000077
341899,,,transfer,1,0,0,0,0,5269,0,0,0,0,0,0,0,0,0,0,0.000077
341910,,,transferflow,0,0,0,0,0,4654,1,0,1,0,1,0,1,0.006429,0,0.058824,0.000077
341911,,,transfer-learning,1,0,0,0,0,5270,0,0,0,0,0,0,0,0,0,0,0.000077
341924,,,trankit-beta,0,0,0,0,0,4993,2,0,2,0,2,0,2,0.019412,0,0.117647,0.000094
341926,,,trame-sandtank-xai,0,0,0,0,0,3874,2,0,2,0,2,0,2,0.001416,0,0.117647,0.000085
341930,,,transfertab,0,0,0,0,0,1450,2,0,2,0,2,0,2,0.000865,0,0.117647,0.000079
341939,,,transformational-measures-tf,1,0,0,0,0,5271,0,0,0,0,0,0,0,0,0,0,0.000077
341942,,,transformer-discord-notifier,1,0,0,0,0,5272,0,0,0,0,0,0,0,0,0,0,0.000077
341944,,,transformer-as-client,1,0,0,0,0,5273,0,0,0,0,0,0,0,0,0,0,0.000077
341948,,,transformer-embedder,1,0,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0.000077
341950,,,transformer-as-service,1,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,0,0.000077
341954,,,transformer-in-transformer,1,0,0,0,0,5276,0,0,0,0,0,0,0,0,0,0,0.000077
341957,,,transformermodel,1,0,0,0,0,5277,0,0,0,0,0,0,0,0,0,0,0.000077
341958,,,transformerocr,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.000362,0,0.058824,0.000078
341959,,,transformer-model,1,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0,0.000077
341960,,,transformer-pytorch,1,0,0,0,0,5279,0,0,0,0,0,0,0,0,0,0,0.000077
341963,,,transformer-encoder,1,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0.000077
341964,,,transferit,0,0,0,0,0,4699,1,0,1,0,1,0,1,0.000002,0,0.058824,0.000094
341965,,,transformers-domain-adaptation,1,0,0,0,0,5281,0,0,0,0,0,0,0,0,0,0,0.000077
341966,,,transformers-embedder,1,0,0,0,0,5282,0,0,0,0,0,0,0,0,0,0,0.000077
341967,,,transformers-finetuning,0,0,0,0,0,4271,1,0,1,0,1,0,1,0.004086,0,0.058824,0.000077
341969,,,transformers-keras-dataloader,1,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0.000077
341971,,,transformers-keras,1,1,1,1,0,4271,0,1,1,0,0,1,1,0,0.000145,0,0.000077
341972,,,transformers-lightning,1,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0.000077
341973,,,transformer-tools,1,0,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0.000077
341974,,,transformer-in-transformer-flax,1,0,0,0,0,5286,0,0,0,0,0,0,0,0,0,0,0.000077
341975,,,transformer-srl,1,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0.000077
341976,,,transformers-phobert,1,0,0,0,0,5288,0,0,0,0,0,0,0,0,0,0,0.000077
341977,,,transformer-utils,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.023472,0,0.117647,0.000077
341979,,,transformers4rec,1,0,0,0,0,5289,0,0,0,0,0,0,0,0,0,0,0.000077
