Source,Target
314121,37387
330594,37400
330594,37476
330638,37476
66496,37551
169283,37675
330594,37675
330544,37675
330504,37676
330594,37676
330588,37676
63749,38099
275852,38099
302234,38099
330531,38099
339622,38099
342003,38099
158188,38129
330594,38129
330504,38133
339622,38133
158188,38137
330594,38137
123058,38207
339622,38307
118062,38314
339622,38343
339622,38346
339622,38627
330594,38632
63749,38766
330594,38766
338047,38766
339622,38834
158188,38882
330621,38882
111718,38979
314121,38979
319689,38979
157273,39313
251874,39313
19221,39358
314121,39374
330594,39422
330504,39497
339622,39497
148554,39514
339862,39547
19221,39565
66408,39742
158188,39742
315214,39742
330504,39742
330517,39742
330594,39742
330544,39742
330588,39742
330756,39796
339622,39808
339622,39812
158188,39818
330594,39818
262584,39821
339622,39821
330594,39831
158188,39840
330594,39840
348828,39863
330594,39874
339622,39874
330556,39883
333768,39912
333768,39913
339622,39952
123058,39982
123058,40020
87475,40057
158188,40057
233444,40058
330594,40058
330621,40058
19221,40386
19221,40387
330594,40548
330594,40641
339622,40657
158188,40745
180022,40764
158188,40891
330594,40891
201648,40996
302255,40996
314121,40996
201648,40999
302255,40999
314121,40999
201648,41021
302255,41021
314121,41021
66496,41171
283564,41237
13452,41288
333392,41672
158188,41723
314121,41723
330594,41723
26559,41733
26569,41733
41798,41745
314121,41767
63749,41822
275852,41822
339622,41822
342003,41822
314121,41852
339622,42127
42317,42267
158188,42282
330504,42282
330594,42282
330588,42282
158188,42350
42482,42463
342003,42463
330594,42564
330594,42565
330544,42565
330594,42702
129667,42895
144258,42895
275883,42895
330594,42895
330544,42895
330681,42895
333466,42895
336343,42895
66496,42978
339622,42987
339622,43013
66494,43149
66660,43149
330594,43149
330588,43149
330638,43149
158188,43244
330594,43244
266866,43259
339622,43259
66496,43293
283564,43339
275883,43378
66496,43451
339622,43454
340131,43454
158188,43559
330594,43559
275883,43744
339622,43744
339622,43749
339622,43752
19701,43899
330594,43902
19701,43918
158188,43993
330594,43993
330621,43993
330594,44073
339622,44085
330594,44402
330621,44402
339622,44407
342003,44407
63749,44574
111718,44574
275883,44574
302646,44574
330504,44574
339622,44574
342003,44574
357340,44574
192208,44683
26540,44685
26571,44685
47881,44685
123058,44685
158188,44685
314121,44685
330594,44685
330621,44685
330613,44685
111718,44739
339622,44739
63749,44811
275883,44811
302646,44811
322047,44811
339622,44811
342003,44811
255470,44945
255491,44945
319311,44980
330504,44980
339622,44980
357340,44980
178992,45047
330594,45104
330603,45104
330638,45104
339622,45104
33260,45111
180022,45232
339622,45394
330594,45572
66496,45605
307987,45632
314121,45632
339622,45632
342003,45632
365864,45644
307987,45645
314121,45645
339622,45645
342003,45645
339622,45669
302234,45670
339622,45670
339629,45670
342003,45670
339622,45702
339622,45708
63749,45742
275883,45742
314121,45742
339622,45742
342003,45742
339622,45986
6911,46019
275883,46019
275976,46019
301327,46019
339622,46019
357340,46019
227731,46154
339622,46494
180022,46516
66496,46600
66496,46680
123058,46884
314121,46884
319689,46884
339622,46895
342003,46895
87909,46899
330594,46899
330603,46899
339622,46899
354438,46932
339622,46998
9004,47087
97286,47087
339622,47087
202193,47167
251874,47182
146763,47413
365864,47456
339622,47695
339622,47704
199175,47745
199175,47747
302646,47780
339622,47780
342003,47780
47802,47801
339622,47801
221727,47809
275883,47809
339622,47809
275883,47868
339622,47868
123058,47883
123058,47908
47970,47950
185529,47975
87712,48015
283564,48015
330504,48015
330531,48015
330594,48063
144457,48142
339622,48214
123058,48332
87475,48458
158336,48458
330594,48548
330594,48585
342003,48603
330594,48734
330603,48734
339622,48734
339622,48825
314121,48838
330504,48858
339622,48858
342003,48858
330594,48887
330588,48887
330594,48906
330613,48906
330594,48951
330603,48951
123058,48954
314121,48954
339622,49151
87712,49157
330556,49157
330504,49309
339622,49309
339622,49387
275883,50736
339622,50736
314121,50772
158188,50789
330594,50789
330504,50945
330594,50945
330588,50945
339622,50945
322047,50976
330594,50976
330594,51080
339622,51128
339622,51132
66660,51245
283564,51262
123058,51486
314121,51486
330594,51489
330681,51489
275883,51546
339622,51546
339885,51546
357340,51685
339622,51693
339629,51693
330594,51699
158188,51774
330594,51774
342003,51774
63749,51822
19221,51851
158188,51902
330594,51902
333598,51971
123058,52028
314121,52028
330756,52066
6911,52077
158074,52077
185845,52077
197545,52077
339622,52077
180022,52118
162485,52194
302255,52214
302255,52359
123058,52380
314121,52380
330594,52384
322047,52387
221727,52428
309299,52428
339622,52428
339622,52430
339622,52431
339622,52516
276021,52518
307987,52518
339622,52518
330594,52527
123058,52589
66496,52632
66496,52641
319311,53005
330594,53005
66496,53010
266866,53096
66496,53172
256286,53183
330621,53183
330594,53303
66496,53370
8654,53394
8686,53394
314121,53394
342003,53394
66496,53410
339622,53444
330594,53610
314121,53690
123058,53692
314121,53692
319689,53692
314121,53714
339622,53714
342003,53714
339622,53757
300075,53823
339622,53901
342003,53901
339622,53906
342003,53906
314121,53908
330594,53952
162678,54015
339622,54034
314121,54069
330594,54069
330544,54069
330588,54069
330613,54069
330638,54069
330680,54069
342003,54069
167541,54076
275883,54076
336343,54076
339622,54076
314121,54078
330594,54078
330544,54078
330588,54078
330613,54078
330638,54078
330680,54078
342003,54078
314121,54079
330594,54079
330544,54079
330588,54079
330613,54079
330638,54079
330680,54079
342003,54079
314121,54081
330594,54081
330544,54081
330588,54081
330613,54081
330638,54081
330680,54081
342003,54081
365864,54082
314121,54083
330594,54083
330544,54083
330588,54083
330613,54083
330638,54083
330680,54083
342003,54083
314121,54084
330594,54084
330544,54084
330588,54084
330613,54084
330638,54084
330680,54084
342003,54084
314121,54088
330594,54088
330544,54088
330588,54088
330613,54088
330638,54088
330680,54088
342003,54088
339622,54091
314121,54112
330594,54112
330544,54112
330588,54112
330613,54112
330638,54112
330680,54112
342003,54112
314121,54118
330594,54118
330544,54118
330588,54118
330613,54118
330638,54118
330680,54118
342003,54118
314121,54124
330594,54124
330544,54124
330588,54124
330613,54124
330638,54124
330680,54124
342003,54124
314121,54126
330594,54126
330544,54126
330588,54126
330613,54126
330638,54126
330680,54126
342003,54126
