Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
9040,,,alphapy,1,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
9053,,,alpharotate,1,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0.000075
9081,,,alphazero,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
9091,,,alphaviz,0,0,0,0,0,2991,1,0,1,0,0.062429,0,0,1,0,1,0.000139
9165,,,altena,0,0,0,0,0,2623,4,0,4,0.25,0.035163,0.006587,0,4,0,4,0.000076
9180,,,alternat,0,0,0,0,0,1970,2,0,2,0.5,0.001531,0.01554,0,2,0,2,0.000077
9182,,,altest,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
9203,,,altility,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
9206,,,altify,1,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0.000075
9214,,,alt-model-checkpoint,0,0,0,0,0,2624,1,0,1,0,0.000402,0.001007,0,1,0,1,0.000075
9223,,,alto-pointcloud,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
9258,,,alvadescpy,1,1,1,1,0,2853,0,1,1,0,0,0,0.000258,0,1,1,0.000075
9274,,,alwakeupword,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
9282,,,am2,1,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0.000075
9385,,,amazon-braket-strawberryfields-plugin,0,0,0,0,0,147,1,0,1,0,0.000402,0.000001,0,1,0,1,0.000084
9397,,,amazon-braket-pennylane-plugin,0,0,0,0,0,147,3,0,3,0,0.035489,0.019477,0,3,0,3,0.000078
9486,,,amber-automl,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
9559,,,amdnet,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
9610,,,amgsim,0,0,0,0,0,2612,1,0,1,0,0.001857,0.000186,0,1,0,1,0.000075
9702,,,amlpp,0,0,0,0,0,2422,1,0,1,0,0.000402,0.000536,0,1,0,1,0.000075
9735,,,amlr,0,0,0,0,0,988,2,0,2,0,0.000803,0.000011,0,2,0,2,0.000091
9758,,,amorf,1,0,0,0,0,2853,2,0,2,0.5,0.001531,0.015613,0,2,0,2,0.000077
9927,,,amrlib,1,1,1,1,26.5,2948,3,2,5,0.1,0.168279,0.019397,0.000074,3,2,5,0.000075
9974,,,amtokenizers,0,0,0,0,0,2948,1,0,1,0,0.158856,0.003006,0,1,0,1,0.000075
9982,,,amt-tools,0,0,0,0,0,2612,2,0,2,0,0.000803,0.015983,0,2,0,2,0.000075
9994,,,amsterdam-schema-tools,0,0,0,0,0,2092,1,0,1,0,0.000402,0.00002,0,1,0,1,0.000075
10063,,,amypet,0,0,0,0,0,2991,1,0,1,0,0.000402,0.000137,0,1,0,1,0.000075
10106,,,anago,1,0,0,0,0,2948,3,0,3,0.166667,0.034034,0.005185,0,3,0,3,0.000076
10127,,,anago-py367,0,0,0,0,0,2948,3,0,3,0.166667,0.034034,0.005185,0,3,0,3,0.000076
10181,,,analyze,0,0,0,0,0,988,1,0,1,0,0.000402,0.000015,0,1,0,1,0.000076
10194,,,analytics-zoo-serving,1,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0.000075
10203,,,ananke-causal,0,0,0,0,0,147,1,0,1,0,0.000402,0.000048,0,1,0,1,0.000076
10257,,,anaximander,0,0,0,0,0,3105,1,0,1,0,0.000402,0.000011,0,1,0,1,0.000075
10284,,,analytics-zoo,1,0,0,0,0,2623,4,0,4,0,0.090479,0.019652,0,4,0,4,0.000424
10330,,,ancer-python,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
10349,,,andrewaudio,0,0,0,0,0,2624,2,0,2,0,0.033633,0.019461,0,2,0,2,0.000075
10490,,,anfis,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0.000075
10527,,,angorapy,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
10607,,,anilv-interpret-text,0,0,0,0,0,988,3,0,3,0,0.183439,0.003891,0,3,0,3,0.00008
10620,,,animalai,1,1,1,1,1.5,71,2,1,3,0.166667,0.001531,0.000012,0,2,1,3,0.000093
10622,,,animal-classifier,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
10623,,,animalai-train,1,0,0,0,0,71,2,0,2,0,0.005753,0.000006,0,2,0,2,0.000165
10655,,,animated-memory,0,0,0,0,0,2948,3,0,3,0.333333,0.298213,0.018572,0,3,0,3,0.00008
10688,,,anime-face-detector,1,0,0,0,0,2853,3,0,3,0.166667,0.004043,0.015534,0,3,0,3,0.000146
10692,,,anime-or-not,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
10717,,,animius,1,0,0,0,0,2624,2,0,2,0,0.066462,0.004344,0,2,0,2,0.000075
10724,,,animus,1,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0.000075
10739,,,anipose,1,0,0,0,0,1110,1,0,1,0,0.017016,0.000005,0,1,0,1,0.000087
10814,,,anki-vector,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
10845,,,ann,1,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0.000075
10853,,,annarchy,1,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0.000075
10863,,,anncolvar,1,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0.000075
10891,,,annif,0,0,0,0,0,2624,3,0,3,0,0.042654,0.001478,0,3,0,3,0.000076
10893,,,annlite,1,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0.000075
10899,,,annolid,0,0,0,0,0,1273,3,0,3,0,0.001932,0.016872,0,3,0,3,0.000088
10911,,,annotate,0,0,0,0,0,2092,1,0,1,0,0.000402,0.00002,0,1,0,1,0.000075
10959,,,ann-implementation-kkkumar2,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
10971,,,anntoolkit,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0.000075
10974,,,ann_visualizer,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0.000075
10990,,,anomalous,0,0,0,0,0,100,1,0,1,0,0.000402,0,0,1,0,1,0.000138
10995,,,anomaly-detection-framework,1,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0.000075
11005,,,anon,0,0,0,0,0,2624,2,0,2,0,0.059898,0.00422,0,2,0,2,0.000075
11015,,,anomaly-toolbox,0,0,0,0,0,2626,3,0,3,0.333333,0.09922,0.005467,0,3,0,3,0.000076
11021,,,animal-classification,0,0,0,0,0,988,3,0,3,0,0.001205,0.001546,0,3,0,3,0.000082
11035,,,anonymization,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
11075,,,anovos,0,0,0,0,0,2422,2,0,2,0,0.033633,0.004227,0,2,0,2,0.000075
11102,,,anomalib,0,0,0,0,0,71,10,0,10,0.044444,0.291161,0.004329,0,10,0,10,0.000106
11326,,,answer-finder,0,0,0,0,0,2948,2,0,2,0.5,0.159258,0.018522,0,2,0,2,0.000075
11515,,,antiberty,0,0,0,0,0,2948,4,0,4,0.166667,0.214458,0.019739,0,4,0,4,0.000076
11521,,,antialiased-cnns,1,1,1,1,0,2853,0,4,4,0.166667,0,0,0.00067,0,4,4,0.000075
11577,,,antinex-core,1,0,0,0,0,2624,3,0,3,0.5,0.049194,0.004953,0,3,0,3,0.000139
11578,,,antinex-utils,1,1,1,1,0,2624,2,1,3,0.5,0.033633,0.004952,0.000082,2,1,3,0.000075
11583,,,antinex-client,1,1,1,1,0,102,0,1,1,0,0,0,0,0,1,1,0.000075
11603,,,antivirals,0,0,0,0,0,2422,1,0,1,0,0.000402,0.000536,0,1,0,1,0.000075
11611,,,antk,1,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0.000075
11664,,,antspynet,1,0,0,0,0,2624,3,0,3,0.166667,0.060299,0.005227,0,3,0,3,0.000075
11685,,,anuvaad,1,0,0,0,0,2948,3,0,3,0.333333,0.15966,0.019391,0,3,0,3,0.000075
11701,,,anvilrl,0,0,0,0,0,2612,2,0,2,0,0.001531,0.016867,0,2,0,2,0.000075
11739,,,anvil-parser,0,0,0,0,0,3105,1,0,1,0,0.000402,0.000011,0,1,0,1,0.000075
11762,,,anvil-rl,0,0,0,0,0,2612,2,0,2,0,0.001531,0.016867,0,2,0,2,0.000075
